Nomenclatura,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
CACRIOAC01DMX01           ,10.0.127.138,HP,HP EliteDesk 705 G1 SFF,MXL51525N0,104000031274,HP                 ,V193B,3CQ5140DCK              ,104000031274,HP,KB57211,BDMHE0CHH7W7T2,HP,SM-2022,CT-FCMHH0CJP7XKCS,,,ALMACEN 01,CAC RIO
CACRIOAC02DMX01           ,10.0.127.139,DELL,OptiPlex 9010          ,C0GV6Y1,104000032310,DELL,E1713S    ,CN-0HX1KW-74261-37E-06VU            ,104000032310,DELL,KB-4021,CN-0DJ462-71581-367-02ME-A00,DELL,MS111-L,CN-09RRC7-48729-35Q-01VW,,,ALMACEN 02,CAC RIO
CACRIOAC03DMX01           ,10.0.127.140,DELL,OptiPlex 9010          ,C3RT6Y1        ,104000032311,DELL,E1713S    ,CN-0HX1KW-74261-37E-073U            ,104000032311,DELL,KB-4021,CN-0DJ462-71581-366-01GP-A00,DELL,MS111-L,CN-09RRC748729-5R-0B4D,,,ALMACEN 03,CAC RIO
CACRIOAS02DMX01           ,10.0.127.102,LENOVO         ,A002LM             ,MJ01PGDE       ,104000032772,LENOVO          ,E 1922 WD    ,V900FL74                ,104000032772,LENOVO,SK-8825,5099247,LENOVO,N-U0025-O,HS422HA34HX,,,BARRA 02,CAC RIO
CACRIOAS03DMX01           ,10.0.127.103,DELL,OptiPlex 9010          ,C9FW6Y1        ,104000032191,DELL,E1713S    ,CN-0HX1KW-74261-37D-303U            ,104000032191,DELL,KB4021,CN-0DJ462-71581-52B-07BL-A01,DELL,MS111-L,CN-09RRC7-48729-35S-0PJ5,,,BARRA 03,CAC RIO
CACRIOAS04DMX01           ,10.0.127.104,DELL,OptiPlex 9010          ,C9CT6Y1        ,104000032193,DELL,E1713S    ,CN-0HX1KW-74261-37E-087U            ,104000032193,DELL,KB4021,CN-0DJ462-71581-366-04RU-A00,DELL,MS111-L,CN-09RRC7-48729-35S-0PLE,,,BARRA 04,CAC RIO
CACRIOAS05DMX01           ,10.0.127.105,DELL,OptiPlex 9010          ,C2ZV6Y1        ,104000032175,DELL,E1713S    ,CN-0HX1KW-74261-37D-30CU            ,104000032175,DELL,KB4021         ,CN-0DJ462-71581-366-01M9-A00,DELL,MS111-L,CN-09RRC7-48729-350-024U,,,BARRA 05,CAC RIO
CACRIOAS06DMX01           ,10.0.127.106,HP,EliteDesk 705 G1 SFF,MXL51524TQ     ,1.04E+11,HP                                                        ,V193B                          ,3CQ5140C5T                              ,104000032924,HP,KB57211,BDMHE0CHH7W0X3,HP,SM-2022,FCMHH0CJP7XK2R,,,BARRA 06,CAC RIO
CACRIOAS07DMX01           ,10.0.127.107,DELL,OptiPlex 9010          ,C3ZV6Y1        ,104000032176,DELL,DELL E1713S                       ,CN-0HX1KW-74261-37D-2YMU                            ,104000032176,DELL,KB4021,CN-0DJ462-71581-367-05P8-A00,DELL,MS111-L,CN-09RRC7-48729-35S-0PLJ,,,BARRA 07,CAC RIO
CACRIOAS08DMX01           ,10.0.127.108,DELL,OptiPlex 9010          ,C2YT6Y1        ,104000032177,DELL,E1713S    ,CN-0HX1KW-74261-37E-08MU            ,104000032177,DELL,KB4021,CN-DJ462-71581-367-03HM-A00,DELL,MS111-L,CN-09RRC7-48729-35S-OPLQ,,,BARRA 08,CAC RIO
CACRIOAS09DMX01           ,10.0.127.109,DELL,OptiPlex 990           ,3B0TXQ1        ,104000031747,DELL,E170S     ,CN-0HF0K3-64180-14E-05RL            ,104000031747,DELL,KB522,CN-0XCRRN-75131-41G-00RE-A01,DELL,M-UAV-DEL8,LZ113BW12W4,,,BARRA 09,CAC RIO
CACRIOAS10DMX01           ,10.0.127.110,DELL,OptiPlex 990           ,3BBZXQ1        ,104000031748,DELL,E170S     ,CN-0HF0K3-64180-14F-0DTS            ,104000031748,DELL,NY-U0003-DEL5,CN-0U474D-44751-15L-00UF-A02,DELL,M-UAV-DEL8,LZ113BW12VL,,,BARRA 10,CAC RIO
CACRIOAS11DMX01           ,10.0.127.111,DELL,OptiPlex 990           ,J5TKXQ1        ,104000031749,DELL,E170S     ,CN-0HF0K3-64180-14E-05ZL            ,104000031749,DELL,KB522,CN-0XCRRN-75131-3C8-00ON-A00 ,DELL,MOCZUL,K0J00C73,,,BARRA 11,CAC RIO
CACRIOAS12DMX01           ,10.0.127.112,DELL,OptiPlex 9010          ,C97T6Y1        ,104000032178,DELL,E1713S    ,CN-0HX1KW-74261-37E-07FU            ,104000032178,DELL,KB4021,CN-0DJ462-71581-367-03DU-A00,DELL,MS111-L,CN-09RRC7-48729-35R-0B2K,,,BARRA 12,CAC RIO
CACRIOAS13DMX01           ,10.0.127.113,DELL,OptiPlex 9010          ,CHZV6Y1        ,104000032179,DELL,E1713S    ,CN-0HX1KW-74261-37D-2YRU            ,104000032179,DELL,KB4021,CN-0DJ462-71581-366-06V0-A00,DELL,MS111-L,CN-09RRC7-48729-35R-0XGR,,,BARRA 13,CAC RIO
CACRIOAS14DMX01           ,10.0.127.114,DELL,OptiPlex 9010          ,CB2X6Y1        ,104000032180,DELL,E1713S    ,CN-0HX1KW-74261-37E-08KU            ,104000032180,DELL,KB4021,CN-0DJ462-71581-367-05P7-A00,DELL,MS111-L,CN-09RRC7-48729-35R-0B5C,,,BARRA 14,CAC RIO
