Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
MXTACPRICOR12,I,10.0.40.231,HP,LASERJET PRO 400,PHGFF21251,105000031569,,,,,,,,,,,,,Barra 29 y 30,CAC - PLAZA RIO 
MXTACPRICOR16,I,10.0.40.235,HP,LASERJET PRO 402DE,PHGBQB13749,105000031814,,,,,,,,,,,,,Barra 27 y 28,CAC - PLAZA RIO 
NO TIENE,I,USB,HP,LASERJET PRO 2015DN,CNBJN84797,105000030591,,,,,,,,,,,,,Barra 25 y 26,CAC - PLAZA RIO 
MXTACPRICOR09,I,10.0.40.228,HP,LASERJET PRO 400DN,VNB3H22757,105000031305,,,,,,,,,,,,,Barra 23 y 24,CAC - PLAZA RIO 
MXTACPRICOR08,I,10.0.40.227,HP,LASERJET PRO 400DN,PHGFF21052,105000031577,,,,,,,,,,,,,Barra 21 y 22,CAC - PLAZA RIO 
MXTACPRICOR07,I,10.0.40.226,HP,LASERJET PRO 400DNE,VNB3H22756,105000031304,,,,,,,,,,,,,BARRA 19 Y 20,CAC - PLAZA RIO 
MXTACPRICOR05,I,10.0.40.224,HP,LASERJET PRO 400DNE,PHGFF21244,105000031550,,,,,,,,,,,,,BARRA 15 Y 16,CAC - PLAZA RIO 
MXTACPRICOR04,I,10.0.40.223,HP,LASERJET PRO 400DNE,PHGFF21230,105000031556,,,,,,,,,,,,,BARRA 12 Y 13,CAC - PLAZA RIO 
MXTACPRICOR03,I,10.0.40.222,HP,LASERJET PRO 400DNE,VNB5P03186,105000031443,,,,,,,,,,,,,BARRA 10 Y 11,CAC - PLAZA RIO 
MXTACPRICOR02,I,10.0.40.221,HP,LASERJET PRO 400DNE,PHGFC58201,105000031726,,,,,,,,,,,,,BARRA 8 Y 9,CAC - PLAZA RIO 
MXTACPRICOR01,I,10.0.40.220,HP,LASERJET PRO 400DNE,VNB3H17812,105000031306,,,,,,,,,,,,,BARRA 6 Y 7,CAC - PLAZA RIO 
,I,10.0.40.237,HP,LASERJET PRO 400DNE,PHGFG22155,NO TIENE,,,,,,,,,,,,,ALMACEN,CAC - PLAZA RIO 
,I,10.0.40.238,HP,LASERJET PRO 400DNE,PHGFB42255,105000031652,,,,,,,,,,,,,SERTEC,CAC - PLAZA RIO 
,I,10.0.40.239,LEXMARK,X656DE,79GG5X8,105000031269,,,,,,,,,,,,,CAJAS,CAC - PLAZA RIO 
,I,USB,HP,OFFICEJET8100,CN421F1M8,105000031571,,,,,,,,,,,,,JEFATURA,CAC - PLAZA RIO 
