nombre,horarios,ubicación,id_gerencia
Captación e Inducción de Nuevos DATs,9:00 AM - 6:00 PM,,2
Fuerza de Ventas,9:00 AM - 6:00 PM,"RADIOMOVIL DIPSA, EDIFICIO ALFER
 BLVD. SANCHEZ TABOADA 
ESQ. MISION DE MULEGE ZONA 
URBANA RIO TIJUANA 
TIJUANA BAJA CALIFORNIA C.P. 22010
",2
CVT Otay y Loma Bonita,9:00 AM - 6:00 PM,,2
CCT Río y Galerías,9:00 AM - 6:00 PM,,2
CVT Foráneos La Paz y Mexicali,9:00 AM - 6:00 PM,,2
CAD Mexicali,9:00 AM - 6:00 PM,,2
CAD La Paz,9:00 AM - 6:00 PM,,2
CAD Tijuana,9:00 AM - 6:00 PM,"Radiomóvil DIPSA, S.A. de C.V. - Telcel
Calle Coral # 117, Centro Ind. Bustamente
Tijuana, B.C.",2
Publicidad y Mercadotecnia,9:00 AM - 6:00 PM,"RADIOMOVIL DIPSA, EDIFICIO ALFER
 BLVD. SANCHEZ TABOADA 
ESQ. MISION DE MULEGE ZONA 
URBANA RIO TIJUANA 
TIJUANA BAJA CALIFORNIA C.P. 22010
",5
Capacitación Comercial,9:00 AM - 6:00 PM,"RADIOMOVIL DIPSA, EDIFICIO ALFER
 BLVD. SANCHEZ TABOADA 
ESQ. MISION DE MULEGE ZONA 
URBANA RIO TIJUANA 
TIJUANA BAJA CALIFORNIA C.P. 22010
",5
Jumbotron,9:00 AM - 6:00 PM,"RADIOMOVIL DIPSA, EDIFICIO ALFER
 BLVD. SANCHEZ TABOADA 
ESQ. MISION DE MULEGE ZONA 
URBANA RIO TIJUANA 
TIJUANA BAJA CALIFORNIA C.P. 22010
",5
Distribución,9:00 AM - 6:00 PM,"RADIOMOVIL DIPSA, EDIFICIO ALFER
 BLVD. SANCHEZ TABOADA 
ESQ. MISION DE MULEGE ZONA 
URBANA RIO TIJUANA 
TIJUANA BAJA CALIFORNIA C.P. 22010
",5
Servicio Técnico,9:00 AM - 6:00 PM,,3
CAC 5 y 10,9:00 AM - 6:00 PM,,3
CAC Playas,9:00 AM - 6:00 PM,,3
CAC Río,9:00 AM - 6:00 PM,,3
CAC Macroplaza / STT Tijuana,9:00 AM - 6:00 PM,,3
CAC Monarca,9:00 AM - 6:00 PM,,3
