Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
TOL689301LMXR1,L,10.0.146.43,HP,PROBOOK 645 G1,5CG514065H,,,,,,,,,,,,,6893,ANALISTA VENTAS PYMES ,CAE RIO
TOL1A7C01LMXR1,L,10.0.146.42,HP,PROBOOK 645 G1,5CG514063W,,,,,,,,,,,,,1A7C,GERENTE VENTAS PYMES,CAE RIO
TOLE4701LMXR1,L,10.0.146.73,HP,PROBOOK 645 G1,5CG5140607,,,,,,,,,,,,,E470,ANALISTA VENTAS PYMES ,CAE RIO
TOL869901LMXR1,L,10.0.146.75,HP,PROBOOK 645 G1,5CG5140606,,,,,,,,,,,,,8699,ANALISTA VENTAS PYMES ,CAE RIO
TOLDE9301LMXR1,L,10.0.146.70,HP,PROBOOK 645 G1,5CG514064V,,,,,,,,,,,,,DE9E,ANALISTA VENTAS PYMES ,CAE RIO
TOLC48501LMXR1,L,10.0.146.71,HP,PROBOOK 645 G1,5CG5140623,,,,,,,,,,,,,C485,ANALISTA VENTAS PYMES ,CAE RIO
TOLD72E01LMXR1,L,10.0.146.72,HP,PROBOOK 645 G1,5CG5140682,,,,,,,,,,,,,D72E,ANALISTA VENTAS PYMES ,CAE RIO
TOLE3C901LMX01,L,10.9.13.104,HP,PROBOOK 645 G1,5CG4290M9X,,,,,,,,,,,,,E3C9,ANALISTA VENTAS PYMES ,CAE MEXICALI
TOLD23F01LMX01,L,10.9.13.103,HP,PROBOOK 645 G1,5CG514068K,,,,,,,,,,,,,D23F,ANALISTA VENTAS PYMES ,CAE MEXICALI
TOLD65D01LMX01,L,10.9.13.107,HP,PROBOOK 645 G1,5CG514068K,,,,,,,,,,,,,D65D,ANALISTA VENTAS PYMES ,CAE MEXICALI
